Front,Back,Tags
"Plasticity","The body's potential for physical or chemical change; enhances its adaptability to environmental change and its ability to compensate for injury","PSYC2240 Chapter1 Definition"
"Embodied behaviour","Theory that the movements we make and the movements we perceive in others are central to communication","PSYC2240 Chapter1 Definition"
"Glial cells","Nervous system cells supporting neuron function; providing insulation, nutrients, and support, as well as aiding in repairing neurons and eliminating waste products","PSYC2240 Chapter1 Definition"
"Neuroplasticity","Plasticity in the brain and nervous system","PSYC2240 Chapter1 Definition"
"Deep brain stimulation (DBS)","Neurosurgical technique in which electrodes implanted in the brain stimulate a targeted area with a low voltage electrical current to produce behaviour or give relief from psychiatric conditions","PSYC2240 Chapter1 Definition"
"Traumatic brain injury (TBI)","DAMAGE to the brain resulting from a blow to the head","PSYC2240 Chapter1 Definition"
"Cerebellum","Major brainstem structure specialised for learning and coordinating movements; assists the cerebrum in generating many behaviours","PSYC2240 Chapter1 Definition"
"Central nervous system (CNS)","The brain and spinal cord, which together mediate behaviour; this is the part of our nervous system encased in bone","PSYC2240 Chapter1 Definition"
"Concussion","Damage to the brain caused by a blow to the head","PSYC2240 Chapter1 Definition"
"Persistent vegetative state (PVS)","Condition in which a person is alive but unaware, unable to communicate or to function independently at even the most basic level","PSYC2240 Chapter1 Definition"
"Neurons","Specialised nervous system cells engaged in information processing","PSYC2240 Chapter1 Definition"
"Cerebrum (forebrain)","A major structure of the forebrain, which consists of two mirror-image hemispheres (left and right) and is responsible for most conscious behaviour","PSYC2240 Chapter1 Definition"
"Locked-in syndrome","A condition in which an individual is aware and awake but cannot move or communicate verbally because of complete paralysis of all voluntary muscles except the eyes","PSYC2240 Chapter1 Definition"
"Minimally conscious state (MCS)","Condition in which a person can display some rudimentary behaviours, such as smiling or uttering a few words, but is not otherwise conscious","PSYC2240 Chapter1 Definition"
"Brainstem","Central structure of the brain (including the hindbrain, midbrain, thalamus, and hypothalamus) that is responsible for most life-sustaining, unconscious behaviour","PSYC2240 Chapter1 Definition"
"Peripheral nervous system (PNS)","All of the neurons in the body outside of the brain and spinal cord","PSYC2240 Chapter1 Definition"
"Neocortex (cerebral cortex)","Outermost layer ("outer bark") of the forebrain that is visibly folded in humans and other large-brained animals, composed of about six layers of cells","PSYC2240 Chapter1 Definition"
"Segmentation","Division into a number of parts that are similar; refers to the idea that many animals, including vertebrates, are composed of similarly organised body segments","PSYC2240 Chapter1 Definition"
"Mind-body problem","The difficulty of explaining how a nonmaterial mind and a material body interact","PSYC2240 Chapter1 Definition"
"Ganglia","Collection of nerve cells that functions somewhat like a brain","PSYC2240 Chapter1 Definition"
"Bilateral symmetry","Body plan in which organs/parts present on both sides of the body are mirror images in appearance","PSYC2240 Chapter1 Definition"
"Common ancestor","Forebear of two or more lineages or family groups; ancestral to both groups","PSYC2240 Chapter1 Definition"
"Dualism","Philosophical position that both a nonmaterial mind and a material body contribute to behaviour","PSYC2240 Chapter1 Definition"
"Natural Selection","Darwin's theory explaining how new species evolve and how existing species change over time; individuals with different characteristics (phenotypes) have differential reproductive success","PSYC2240 Chapter1 Definition"
"Nerve net","Simple nervous system that has no centre; consists of neurons that receive sensory information that connect directly to other neurons that move muscles","PSYC2240 Chapter1 Definition"
"Mentalism","Explanation of behaviour as a function of the nonmaterial mind","PSYC2240 Chapter1 Definition"
"Epigenetics","The study of how gene expression is turned on or off at different times and how environment and experience influence our behaviour through their effects on our genes","PSYC2240 Chapter1 Definition"
"Phenotype","Set of individual characteristics (physical or behavioural traits) that can be seen or measured","PSYC2240 Chapter1 Definition"
"Encephalisation","The evolutionary increase of brain size relative to body size (often associated with enhanced cognitive abilities)","PSYC2240 Chapter1 Definition"
"Genotype","Particular genetic makeup of an individual","PSYC2240 Chapter1 Definition"
"Chordate","An animal with both a brain and a spinal cord","PSYC2240 Chapter1 Definition"
"Species","A group of organisms that can interbreed","PSYC2240 Chapter1 Definition"
"Psyche","Synonym for mind; a nonmaterial entity once proposed to be the source of human behaviour (specifically consciousness, imagination, opinion, desire, pleasure, pain, memory, and reason)","PSYC2240 Chapter1 Definition"
"Hominins","Term referring to all forms of humans, both living and extinct","PSYC2240 Chapter1 Evolution"
"Memes","An idea, a behaviour, or a style that spreads from person to person within a culture","PSYC2240 Chapter1 Evolution"
"Culture","Learned behaviours that are passed on from one generation to the next through teaching and imitation","PSYC2240 Chapter1 Evolution"
"Homo sapiens sapiens","Modern humans who appeared about 200,000 years ago","PSYC2240 Chapter1 Evolution"
"Encephalization quotient (EQ)","Jerison's quantitative measure of brain size obtained from the ratio of actual brain size to expected brain size for an animal of a particular body size","PSYC2240 Chapter1 Evolution"
"Topographic","Representing function in different areas of the central nervous system","PSYC2240 Chapter1 Evolution"
"Flynn Effect","The consistent generational increase in IQ, not attributable to a real increase in intelligence","PSYC2240 Chapter1 Evolution"
"Neoteny","Process in which juvenile stages of predecessors become adult features of descendants","PSYC2240 Chapter1 Evolution"
"Homo habilis",""Handy human" - early human species with larger forebrain more similar to modern humans","PSYC2240 Chapter1 Evolution"
"Connectome","All of the pathways connecting regions of the central nervous system","PSYC2240 Chapter1 Evolution"
"Homo neanderthalensis","Early human species with brains slightly larger than modern humans; lived in family groups, made music, cared for elders","PSYC2240 Chapter1 Evolution"
"Homo erectus",""Upright Human" - early human with large brain overlapping in size with present-day human brains","PSYC2240 Chapter1 Evolution"
"Heterochrony","The study of processes that regulate life stages (gestation, infancy, childhood, adulthood) and their developmental speed and duration","PSYC2240 Chapter1 Evolution"
"Australopithecus","Early primate ancestor; first primates to walk upright and use tools","PSYC2240 Chapter1 Evolution"
"Species-typical behaviour","Behaviour that is characteristic of all members of a species","PSYC2240 Chapter1 Evolution"
"Efferent","Conducting away from a CNS structure (outgoing information)","PSYC2240 Chapter2 Anatomy"
"Meninges","Three layers of protective tissue — dura mater, arachnoid, and pia mater — that encase the brain and spinal cord","PSYC2240 Chapter2 Anatomy"
"Autonomic nervous system","Part of the peripheral nervous system that regulates the functioning of internal organs and glands","PSYC2240 Chapter2 Anatomy"
"Parietal lobe","Lobe of the neocortex that lies beneath the parietal bone; directs our movements for performing tasks","PSYC2240 Chapter2 Anatomy"
"Phenotypic plasticity","An individual's capacity to develop into a range of phenotypes","PSYC2240 Chapter2 Anatomy"
"Somatic nervous system (SNS)","Part of the peripheral nervous system including cranial and spinal nerves to and from muscles, joints, and skin","PSYC2240 Chapter2 Anatomy"
"Gyri","Small protrusions or bumps formed by the folding of the cerebral cortex","PSYC2240 Chapter2 Anatomy"
"Stroke","Sudden appearance of neurological symptoms as a result of severely reduced blood flow","PSYC2240 Chapter2 Anatomy"
"Sulci","Grooves in brain matter, as are found in the neocortex or cerebellum","PSYC2240 Chapter2 Anatomy"
"Occipital lobe","Lobe of the neocortex that lies beneath the occipital bone; responsible for visual scene processing","PSYC2240 Chapter2 Anatomy"
"Temporal lobe","Lobe of the neocortex that lies beneath the temporal bone; constructs higher order hearing, language, musical abilities, facial recognition and emotional processing","PSYC2240 Chapter2 Anatomy"
"Frontal lobe","Lobe of the neocortex that lies anterior to the central sulcus; responsible for executive functions such as decision making and voluntary movement","PSYC2240 Chapter2 Anatomy"
"Cerebrospinal fluid","Clear solution of sodium, chloride, and other ions that is produced in the ventricles inside the brain and circulates around the brain and spinal cord","PSYC2240 Chapter2 Anatomy"
"Afferent","Conducting toward a CNS structure (incoming information)","PSYC2240 Chapter2 Anatomy"
