Front,Back,Tags
What is they modify their attributions to take salient situational factors into account?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ High Extracted Optimized
What is Schemas that people have about other individuals?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ High Extracted Optimized
What is cornerstone of social psychology?,"Ward Struthers - Experimental Social Psychologist Academia: the generation and dissemination of knowledge Is the real reason we’re at school to give us an edge in reproducing, surviving, staying sa...",PSYC2120 LOQ High Extracted Optimized
What is beliefs that are so deeply ingrained that they are never disputed?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ High Extracted Optimized
What is The tendency to make internal attributions for the behaviour of others and external attributions for our own behaviour?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ High Extracted Optimized
What is Psychology began as studying behavior through instincts?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ High Extracted Optimized
What is We spend incredible amounts of money to attract others?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ High Extracted Optimized
What is often perform less well on average than members of the advantaged or majority group?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ High Extracted Optimized
What is and people discounted their achievements because of this attribution?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ High Extracted Optimized
What is The Four Core Assumptions of Social Psychology?,"Ward Struthers - Experimental Social Psychologist Academia: the generation and dissemination of knowledge Is the real reason we’re at school to give us an edge in reproducing, surviving, staying sa...",PSYC2120 LOQ High Extracted Optimized
What is they modify their attributions to take salient situational factors into account?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ High Extracted Optimized
What is and experience emotions fueled from something else entirely?,"Kurt Lewin: we act on the perceived rather than the actual… Course Structure: Tests: ⅔ from textbook, ⅓ from lectures The final exam is cumulative , but ONLY FROM LECTURES…",PSYC2120 LOQ High Extracted Optimized
What is the worse they will perform in areas related to the stereotype?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ High Extracted Optimized
What is that would be accepted or revised after testing the theory?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ High Extracted Optimized
What is Experimental Research into the Stereotype Threat Would Involve?,"Ward Struthers - Experimental Social Psychologist Academia: the generation and dissemination of knowledge Is the real reason we’re at school to give us an edge in reproducing, surviving, staying sa...",PSYC2120 LOQ High Extracted Optimized
What is Implicit and Explicit Attitudes?,5 Theory Building: The Engine of Scientific Progress LOQ: Outline the features of a good theory Define internal and external validity Explain the importance of replicability Describe the limitation...,PSYC2120 LOQ High Extracted Optimized
What is implicit and explicit attitudes?,5 Theory Building: The Engine of Scientific Progress LOQ: Outline the features of a good theory Define internal and external validity Explain the importance of replicability Describe the limitation...,PSYC2120 LOQ High Extracted Optimized
What is Explicit Attitudes?,5 Theory Building: The Engine of Scientific Progress LOQ: Outline the features of a good theory Define internal and external validity Explain the importance of replicability Describe the limitation...,PSYC2120 LOQ High Extracted Optimized
What is Attitudes people?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ High Extracted Optimized
What is providing a measurement of the dependent variable?,4 The Scientific Method: Systematizing the Acquisition of Knowledge LOQ: Outline the steps in the cycle of theory and research Explain why correlation does not mean causation Distinguish between co...,PSYC2120 LOQ Medium Extracted Optimized
What is rise in individualistic values?,"Ward Struthers - Experimental Social Psychologist Academia: the generation and dissemination of knowledge Is the real reason we’re at school to give us an edge in reproducing, surviving, staying sa...",PSYC2120 LOQ Low Extracted Optimized
What is partner if you know your implicit tendency to lash out?,"Ward Struthers - Experimental Social Psychologist Academia: the generation and dissemination of knowledge Is the real reason we’re at school to give us an edge in reproducing, surviving, staying sa...",PSYC2120 LOQ Low Extracted Optimized
What is the trend toward democratisation may lead toward a rise in individualistic values?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ Low Extracted Optimized
What is motivates behaviour?,Evidence for Benefits of Relationships: Myers (2000) found that those in relationships exhibited greater happiness Abbey & Andrews (1985) found that people in relationships cope better with stresso...,PSYC2120 LOQ Low Extracted Optimized
What is trait they had never heard of before assumed themselves to be high in that trait?,1 The Roots of Social Psychology An Instinct Based View of Human Behaviour - Herbert Spencer extended Darwin’s Theory of Natural Selection to psychology Argued that the social behaviour- producing ...,PSYC2120 LOQ Medium Extracted Optimized
What is The Free Choice Paradigm?,Can findings be generalised Can findings be replicated Direct replication: The process of reproducing a scientific findings by repeating the same methods and measures used in the original research ...,PSYC2120 LOQ Medium Extracted Optimized
What is librarian were more likely to recall she liked classical music?,4 The Scientific Method: Systematizing the Acquisition of Knowledge LOQ: Outline the steps in the cycle of theory and research Explain why correlation does not mean causation Distinguish between co...,PSYC2120 LOQ Low Extracted Optimized
