"Front","Back","Tags"
"What characterizes locked-in syndrome?","Complete paralysis except eye movement; patient is conscious and aware","PSYC2240 Chapter1 HighPriority"
"How many layers does neocortex have?","Six layers of cells in the brain's outer 'bark'","PSYC2240 Chapter1 VibrantGreen"
"What are neurons?","Brain cells that send electrical signals to communicate","PSYC2240 Chapter1 HighPriority Overlap"
"What is neuroplasticity?","Brain's ability to rewire itself throughout life","PSYC2240 Chapter1 HighPriority Overlap"
"What is DBS used for?","Deep brain stimulation treats psychiatric conditions with targeted electrical currents","PSYC2240 Chapter1 Optimized"
"What functions does the brainstem control?","Basic life functions like heart rate, respiration, and blood pressure","PSYC2240 Chapter1 VibrantGreen"
"Why is the cauda equina clinically important?","Nerve bundle at spinal cord's end; injury causes bladder/bowel dysfunction","PSYC2240 Chapter1 Clinical"
"What is apraxia?","Inability to execute skilled movements despite intact sensation and motor function","PSYC2240 Chapter1 Clinical"
"How does the central nervous system develop?","Neural tube formation → brain vesicle development → cortical organization","PSYC2240 Chapter1 HighPriority Overlap"
"What characterizes split-brain syndrome?","Disconnection between brain hemispheres causing conflicting hand movements","PSYC2240 Chapter1 Clinical"
"What is the function of dendrites?","Tree-like extensions that receive signals from other neurons","PSYC2240 Chapter2 HighPriority Overlap"
"How do axons transmit signals?","Long projections carry electrical impulses away from cell body to targets","PSYC2240 Chapter2 HighPriority Overlap"
"What happens at synapses?","Chemical communication between neurons via neurotransmitter release","PSYC2240 Chapter2 HighPriority Overlap"
"What triggers an action potential?","Membrane depolarization to threshold (~-55mV) opens voltage-gated sodium channels","PSYC2240 Chapter2 HighPriority Overlap"
"What are neurotransmitters?","Chemical messengers released at synapses to signal other neurons","PSYC2240 Chapter2 HighPriority Overlap"
"What is myelin's function?","Fatty insulation that speeds electrical conduction along axons","PSYC2240 Chapter2 HighPriority Overlap"
"What does dopamine regulate?","Reward, motivation, movement control, and pleasure circuits","PSYC2240 Chapter2 HighPriority Overlap"
"What is acetylcholine's role?","Neurotransmitter for muscle contraction and memory formation","PSYC2240 Chapter2 HighPriority Overlap"
"What does the cerebellum control?","Balance, coordination, and motor learning ('little brain')","PSYC2240 Chapter2 HighPriority Overlap"
"What is the cortex?","Outer layer of brain tissue containing most neurons","PSYC2240 Chapter2 HighPriority Overlap"
"What does the amygdala process?","Fear, emotion, and threat detection responses","PSYC2240 Chapter2 HighPriority Overlap"
"What is the thalamus?","Relay station filtering and directing sensory information to cortex","PSYC2240 Chapter2 HighPriority Overlap"
"What does the hypothalamus regulate?","Hormones, temperature, hunger, and circadian rhythms","PSYC2240 Chapter2 HighPriority Overlap"
"What is a neural network?","Interconnected groups of neurons working together for specific functions","PSYC2240 Chapter2 HighPriority Overlap"
"What defines a reflex?","Automatic motor response to sensory stimulus via spinal circuits","PSYC2240 Chapter2 HighPriority Overlap"
"What characterizes a neural circuit?","Specific pathway connecting brain regions for particular functions","PSYC2240 Chapter2 HighPriority Overlap"
"What is a neural pathway?","Route of signal transmission between brain areas","PSYC2240 Chapter2 HighPriority Overlap"
"How does neural learning occur?","Synaptic strengthening through repeated activation (Hebbian plasticity)","PSYC2240 Chapter2 HighPriority Overlap"
"What drives brain development?","Genetic programming combined with environmental experience","PSYC2240 Chapter2 HighPriority Overlap"
"How is memory formed?","Synaptic changes encoding experiences for later retrieval","PSYC2240 Chapter2 HighPriority Overlap"
"What encompasses cognition?","Mental processes including attention, memory, reasoning, and decision-making","PSYC2240 Chapter2 HighPriority Overlap"
"What makes an effective research question?","Specific, measurable, achievable, relevant, and time-bound (SMART)","PSYC2240 Research Methods"
"Why use control groups?","To isolate the effect of the independent variable from confounding factors","PSYC2240 Research Methods"
"What characterizes good experimental design?","Random assignment, controlled variables, and replication","PSYC2240 Research Methods"
"What is statistical significance?","Probability that results are not due to chance (typically p < 0.05)","PSYC2240 Research Methods"
